Seed = 1, Utility = 4.21
Seed = 2, Utility = 4.19
Seed = 3, Utility = 3.75
Seed = 4, Utility = 4.38
Seed = 5, Utility = 3.87
Seed = 6, Utility = 4.46
Seed = 7, Utility = 4.44
Seed = 8, Utility = 4.27
Seed = 9, Utility = 4.13
Seed = 10, Utility = 3.8
Seed = 11, Utility = 3.77
Seed = 12, Utility = 3.35
Seed = 13, Utility = 4.44
Seed = 14, Utility = 3.69
Seed = 15, Utility = 4.42
Seed = 16, Utility = 4.08
Seed = 17, Utility = 4.31
Seed = 18, Utility = 4.28
Seed = 19, Utility = 4.3
Seed = 20, Utility = 3.61
Seed = 21, Utility = 3.86
Seed = 22, Utility = 4.39
Seed = 23, Utility = 4.1
Seed = 24, Utility = 3.99
Seed = 25, Utility = 3.93
Seed = 26, Utility = 3.71
Seed = 27, Utility = 4.31
Seed = 28, Utility = 3.36
Seed = 29, Utility = 4.58
Seed = 30, Utility = 4.38
Seed = 31, Utility = 4.08
Seed = 32, Utility = 4.18
Seed = 33, Utility = 4.13
Seed = 34, Utility = 4.04
Seed = 35, Utility = 3.82
Seed = 36, Utility = 3.91
Seed = 37, Utility = 4.38
Seed = 38, Utility = 4.52
Seed = 39, Utility = 3.78
Seed = 40, Utility = 4.59
Seed = 41, Utility = 4.57
