Seed = 0, loss = 4.237594853069201
Seed = 1, loss = 4.117828222924625
Seed = 2, loss = 4.0710731081878615
Seed = 3, loss = 4.321010696888004
Seed = 4, loss = 4.2419812304434314
Seed = 5, loss = 4.251303571188138
Seed = 6, loss = 4.032494608301418
Seed = 7, loss = 4.006976508772565
Seed = 8, loss = 4.054639268375212
Seed = 9, loss = 4.14055871230084
Seed = 10, loss = 3.902797624706796
Seed = 11, loss = 3.9951390075561326
Seed = 12, loss = 4.144007137906609
Seed = 13, loss = 4.100049006591322
Seed = 14, loss = 4.0201546998752296
Seed = 15, loss = 4.251561023638909
Seed = 16, loss = 4.163257332563002
Seed = 17, loss = 3.980367360750884
Seed = 18, loss = 3.8497930391929573
Seed = 19, loss = 4.252076553425039
Seed = 20, loss = 4.091420912625272
Seed = 21, loss = 3.862720026690744
Seed = 22, loss = 4.157190952970576
Seed = 23, loss = 4.117802602656466
Seed = 24, loss = 3.8680487300255626
Seed = 25, loss = 4.445132460177349
Seed = 26, loss = 4.080108314463808
Seed = 27, loss = 4.069584633096271
Seed = 28, loss = 3.720932151178751
Seed = 29, loss = 4.081360583180663
Seed = 30, loss = 4.137873895663132
Seed = 31, loss = 4.129965356301601
Seed = 32, loss = 4.313503333432771
Seed = 33, loss = 4.081423384081883
Seed = 34, loss = 4.237825435482634
Seed = 35, loss = 4.045956497007602
Seed = 36, loss = 4.075112362172765
Seed = 37, loss = 3.959085041410253
Seed = 38, loss = 3.843378911326615
Seed = 39, loss = 4.046956624792694
Seed = 40, loss = 4.298983202674695
Seed = 41, loss = 4.2717401092372205
Seed = 42, loss = 4.31904231043187
Seed = 43, loss = 4.109006727178202
Seed = 44, loss = 3.9913268991194215
Seed = 45, loss = 4.105153688800895
Seed = 46, loss = 4.22558582103302
Seed = 47, loss = 4.240580239194337
Seed = 48, loss = 4.096914585491651
Seed = 49, loss = 3.9178751525184827
